Dataset Name,Status,URL
Bars and pubs with patron capacity,Already open,https://data.melbourne.vic.gov.au/Business/Bars-and-pubs-with-patron-capacity/mffi-m9yn
"Bicycle routes, including informal, on-road and off road routes",Already open,https://data.melbourne.vic.gov.au/Transport/Bicycle-routes-including-informal-on-road-and-off-/24aw-nd3i
Blocks for Census of Land Use and Employment (CLUE),Already open,https://data.melbourne.vic.gov.au/Business/Blocks-for-Census-of-Land-Use-and-Employment-CLUE-/aia8-ryiq
Building Permits,Already open,https://data.melbourne.vic.gov.au/Property/Building-Permits/r5bg-2hj8
"Buildings with name, age, size, accessibility and bicycle facilities",Already open,https://data.melbourne.vic.gov.au/Property/Buildings-with-name-age-size-accessibility-and-bic/pmhb-s6pn
Business establishments per block by CLUE industry,Already open,https://data.melbourne.vic.gov.au/Business/Business-establishments-per-block-by-CLUE-industry/c3gt-hrz6
Business establishments with trading name and industry classification,Already open,https://data.melbourne.vic.gov.au/Business/Business-establishments-with-trading-name-and-indu/bs7n-5veh
"Cafes and restaurants, with seating capacity",Already open,https://data.melbourne.vic.gov.au/Business/Cafes-and-restaurants-with-seating-capacity/xt2y-tnn9
City Activities and Planned Works,Already open,https://data.melbourne.vic.gov.au/Events/City-Activities-and-Planned-Works/txcy-uafv
Coworking spaces,Already open,https://data.melbourne.vic.gov.au/Business/Coworking-Spaces/wcd7-bvh4
Development Activity Model Footprints,Already open,https://data.melbourne.vic.gov.au/Property/Development-Activity-Model-Footprints/def8-4wbt
Development Activity Monitor,Already open,https://data.melbourne.vic.gov.au/Property/Development-Activity-Monitor/gh7s-qda8
Drainage infrastructure,Already open,https://data.melbourne.vic.gov.au/City-Council/Drainpipes/3bff-vaa5
Employment by block by CLUE industry,Already open,https://data.melbourne.vic.gov.au/Business/Employment-by-block-by-CLUE-industry/b36j-kiy4
Employment by block by Space Use,Already open,https://data.melbourne.vic.gov.au/Business/Employment-by-block-by-Space-Use/wxa3-hxd3
Floor space by use by CLUE block,Already open,https://data.melbourne.vic.gov.au/Business/Floor-space-by-use-by-block/234q-gg83
Footpath steepness,Already open,https://data.melbourne.vic.gov.au/City-Council/Footpath-steepness/rpt3-2axt
Footpaths,Already open,https://data.melbourne.vic.gov.au/City-Council/Footpaths/tqjk-32d9
Landmarks and places of interest,Already open,https://data.melbourne.vic.gov.au/People/Landmarks-and-places-of-interest-including-schools/j5vt-ppat
Live Music Venues,Already open,https://data.melbourne.vic.gov.au/Property/Live-Music-Venues/mgqj-necz
Microclimate Sensor Locations,Already open,https://data.melbourne.vic.gov.au/Environment/Microclimate-Sensor-Locations/irqv-hjr4
Microclimate Sensor Readings,Already open,https://data.melbourne.vic.gov.au/Environment/Microclimate-Sensor-Readings/u4vh-84j8
Off-street car parks with capacity and type,Already open,https://data.melbourne.vic.gov.au/Transport/Off-street-car-parks-with-capacity-and-type/krh5-hhjn
On-street Parking Bays,Already open,https://data.melbourne.vic.gov.au/Transport/On-street-Parking-Bays/crvt-b4kt
Pedestrian Counting System,Already open,https://data.melbourne.vic.gov.au/Transport/Pedestrian-Counting-System-Monthly-counts-per-hour/b2ak-trbp
Pedestrian Counting System - Sensor Locations,Already open,https://data.melbourne.vic.gov.au/Transport/Pedestrian-Counting-System-Sensor-Locations/h57g-5234
Playgrounds,Already open,https://data.melbourne.vic.gov.au/People/Playgrounds/rwbd-626w
Property boundaries,Already open,https://data.melbourne.vic.gov.au/Property/Property-boundaries/e56b-j9mj
Public Toilets,Already open,https://data.melbourne.vic.gov.au/City-Council/Public-toilets/ru3z-44we
Residential dwellings,Already open,https://data.melbourne.vic.gov.au/Property/Residential-dwellings/44kh-ty54
Residents Profiles by CLUE Small Area,Already open,https://data.melbourne.vic.gov.au/People/Residents-Profiles-by-CLUE-Small-Area/d34a-re98
Road segments with surface type,Already open,https://data.melbourne.vic.gov.au/Transport/Road-segments-with-surface-type/su97-b2at
Soil Sensor Readings,Already open,https://data.melbourne.vic.gov.au/Environment/Soil-Sensor-Readings/mv4n-8k4v
Soil Sensor Locations,Already open,https://data.melbourne.vic.gov.au/Environment/Soil-Sensor-Locations/dxvp-runr